ลำดับ,รายชื่อสถานประกอบการ,สำนักวิชา,หลักสูตร,จังหวัดที่ตั้ง,latitude,longitude
1.0,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร สาขาต่างๆ,การบัญชีและการเงิน,การเงิน,ปัตตานี,6.877352,101.220041
2.0,ธนาคารออมสิน สำนักงานใหญ่ และสาขา,การบัญชีและการเงิน,การเงิน,นครศรีธรรมราช,8.420343,99.966198
3.0,บริษัท คิงเพาเวอร์ อินเตอร์เนชั่นแนล จำกัด,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.767531,100.504539
4.0,บริษัท เงินติดล้อ จำกัด,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.727635,100.499991
5.0,บริษัท บริหารสินทรัพย์กรุงเทพพาณิชย์ จำกัด (มหาชน) สำนักงานใหญ่ และสาขา,การบัญชีและการเงิน,การเงิน,ชุมพร,10.457492,99.183385
6.0,บริษัท ลากูน่า รีสอร์ท แอนด์ โฮเท็ล จำกัด (มหาชน) และบริษัทในเครือ,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.764914,100.502072
7.0,บริษัท หลักทรัพย์ เอเชียพลัส จำกัด (มหาชน) สำนักงานใหญ่,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.730336,100.507975
8.0,บริษัท ออนไลน์ แอสเซ็ท จำกัด,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.756316,100.479682
9.0,บริษัท เอ็ม เอส ไอ จี ประกันภัย (ประเทศไทย) จำกัด,การบัญชีและการเงิน,การเงิน,สงขลา,7.197515,100.437552
10.0,บริษัท เอ็ม เอส ไอ จี ประกันภัย (ประเทศไทย) จำกัด สาขาชลบุรี,การบัญชีและการเงิน,การเงิน,ชลบุรี,13.368138,100.97441
11.0,โรงแรม เรเนอซองส์ เกาะสมุย รีสอร์ท แอนด์ สปา,การบัญชีและการเงิน,การเงิน,สุราษฎร์ธานี,9.109185,99.327214
12.0,โรงแรม ฮอไรซอน กะรน บีช รีสอร์ท แอนด์ สปา,การบัญชีและการเงิน,การเงิน,ภูเก็ต,7.918114,98.366118
13.0,โรงแรมเลอ เมอริเดียน เกาะสมุย รีสอร์ทแอนด์สปา,การบัญชีและการเงิน,การเงิน,สุราษฎร์ธานี,9.167974,99.287486
14.0,ศูนย์ส่งเสริมการพัฒนาความรู้ตลาดทุน ตลาดหลักทรัพย์แห่งประเทศไทย,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.773596,100.527379
15.0,สมาคมส่งเสริมผู้ลงทุนไทย,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.723233,100.50863
16.0,บริษัท ที ซี ซี เทคโนโลยี จำกัด,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.74446,100.501644
17.0,บริษัท ครอมัลลอย (ประเทศไทย) จำกัด,การบัญชีและการเงิน,การเงิน,ปทุมธานี,14.043099,100.518369
18.0,ธนาคารออมสิน ภาค 16,การบัญชีและการเงิน,การเงิน,สุราษฎร์ธานี,9.10298,99.298622
19.0,ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อม สาขาสุราษฎร์ธานี,การบัญชีและการเงิน,การเงิน,สุราษฎร์ธานี,9.113928,99.338914
20.0,โรงแรม วินด์แฮม แกรนด์ ในหาน บีช ภูเก็ต,การบัญชีและการเงิน,การเงิน,ภูเก็ต,7.902392,98.373653
21.0,สำนักงานกองทุนสนับสนุนการเสร้างเสริมสุขภาพ (สสส.),การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.780396,100.50219
22.0,บริษัท เสนาดีเวลลอปเม้นท์ จำกัด (มหาชน),การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.739602,100.474354
23.0,บริษัท บริหารสินทรัพย์กรุงเทพพาณิชย์ จำกัด (มหาชน) สำนักงานหาดใหญ่,การบัญชีและการเงิน,การเงิน,สงขลา,7.145513,100.513116
24.0,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน),การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.751029,100.502242
25.0,ตลาดหลักทรัพย์แห่งประเทศไทย,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.726645,100.479525
26.0,บริษัท พีรพัฒน์เทคโนโลยี จำกัด (มหาชน) กรุงเทพมหานคร,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.777548,100.491168
27.0,บริษัท โทรีเซนไทย เอเยนต์ซีส์ จํากัด (มหาชน),การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.749073,100.519901
28.0,บริษัท หลักทรัพย์ ดาโอ (ประเทศไทย) จำกัด (มหาชน),การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.733367,100.487699
29.0,บริษัทบริหารสินทรัพย์ กรุงเทพพาณิชย์ จำกัด (มหาชน) สำนักงานสุราษฎร์ธานี,การบัญชีและการเงิน,การเงิน,สุราษฎร์ธานี,9.178128,99.336703
30.0,BLOCKINVEST GROUP,การบัญชีและการเงิน,การเงิน,ภูเก็ต,7.9033,98.384446
31.0,ศูนย์ส่งเสริมอุตสาหกรรมภาคที่ 10 กรมส่งเสริมอุตสาหกรรม,การบัญชีและการเงิน,การเงิน,สุราษฎร์ธานี,9.13712,99.323961
32.0," บริษัท ซิซซา กรุ๊ป จำกัด",การจัดการ,การตลาด,กรุงเทพมหานคร,13.750576,100.516602
33.0,การท่องเที่ยวแห่งประเทศไทย สำนักงานกระบี่,การจัดการ,การตลาด,กระบี่,8.052703,98.931656
34.0,การไฟฟ้าส่วนภูมิภาคสาขาสิงหนคร,การจัดการ,การตลาด,สงขลา,7.178018,100.48319
35.0,บริษัท โกลบอล มารีน เทค จำกัด,การจัดการ,การตลาด,ภูเก็ต,7.863211,98.42816
36.0,บริษัท คอมมูนิตี้ ดีเวลล๊อปเมนท์ จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.723468,100.50582
37.0,บริษัท จัดหางาน จ๊อบบีเคเค ดอท คอม จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.758386,100.514212
38.0,บริษัท ซินเนอร์ไจซ์ โปรไวด์ เซอร์วิส จำกัด,การจัดการ,การตลาด,นนทบุรี,13.873665,100.518154
39.0,บริษัท ซี อาร์ นครศรีธรรมราช (ประเทศไทย) จำกัด ห้างโรบินสันโอเชี่ยน,การจัดการ,การตลาด,นครศรีธรรมราช,8.453386,99.966515
40.0,บริษัท ซีพีเอฟ เรสเทอรองท์ แอนด์ ฟู้ดเชน จำกัด จังหวัดสุราษฎร์ธานี,การจัดการ,การตลาด,สุราษฎร์ธานี,9.165067,99.338424
41.0,บริษัท ซีอาร์ซี ไทวัสดุ สาขานครศรีธรรมราช,การจัดการ,การตลาด,นครศรีธรรมราช,8.435858,99.951548
42.0,บริษัท เซ็นทรัลพัฒนา จำกัด (มหาชน),การจัดการ,การตลาด,ภูเก็ต,7.879234,98.419156
43.0,บริษัท เซ็นทรัลพัฒนาดีเวลลอปเม้นท์ จำกัด สาขาสุราษฎร์ธานี,การจัดการ,การตลาด,สุราษฎร์ธานี,9.125625,99.304695
44.0,บริษัท ดุสิต ฟู้ดส์ จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.793647,100.474897
45.0,บริษัท เดอะไซ จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.773026,100.539314
46.0,บริษัท ตัวบรรจงเต็มบรรทัด จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.765884,100.524822
47.0,บริษัท ทีวีไดเร็ค จำกัด (มหาชน),การจัดการ,การตลาด,กรุงเทพมหานคร,13.768032,100.473619
48.0,บริษัท โทรคมนาคมแห่งชาติ จำกัด (มหาชน) สำนักงานบริการลูกค้า นครศรีธรรมราช,การจัดการ,การตลาด,นครศรีธรรมราช,8.450344,99.941435
49.0,บริษัท ธนภูมิ คอนกรีต จำกัด,การจัดการ,การตลาด,สุราษฎร์ธานี,9.119818,99.342822
50.0,บริษัท นครดี.ซี. จำกัด,การจัดการ,การตลาด,นครศรีธรรมราช,8.444947,99.947343
51.0,บริษัท นอร์ม สเปซ จำกัด,การจัดการ,การตลาด,นครศรีธรรมราช,8.436424,99.934907
52.0,บริษัท ปูนซิเมนต์ไทย (ทุ่งสง) จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.778327,100.505834
53.0,บริษัท โปรฟิเซี่ยน เอ็นจิเนียริ่ง จำกัด,การจัดการ,การตลาด,สงขลา,7.156376,100.480617
54.0,บริษัท พีทีจี เอ็นเนอยี จำกัด (มหาชน),การจัดการ,การตลาด,กรุงเทพมหานคร,13.721109,100.463141
55.0,บริษัท โพสเซฟี่ กรุ๊ป จำกัด (ไทย ออปโป้),การจัดการ,การตลาด,กรุงเทพมหานคร,13.784298,100.520457
56.0,บริษัท มีเดียอินเทลลิเจนซ์ จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.791241,100.489141
57.0,บริษัท เมเจอร์ซีนีเพล็กซ์ กรุ้ป จำกัด (มหาชน) เดอะมอล บางกะปิ,การจัดการ,การตลาด,กรุงเทพมหานคร,13.768509,100.467343
58.0,บริษัท ไมเนอร์ คอเปอร์เรชั่น จำกัด (มหาชน) Smart Kids,การจัดการ,การตลาด,กรุงเทพมหานคร,13.718365,100.515234
59.0,บริษัท ยูเนี่ยนนคร จำกัด,การจัดการ,การตลาด,นครศรีธรรมราช,8.452078,99.933414
60.0,บริษัท โรบินสัน จำกัด (มหาชน) สาขาภูเก็ต,การจัดการ,การตลาด,ภูเก็ต,7.89988,98.359524
61.0,บริษัท ลีโอ โกลบอล โลจิสติกส์ จำกัด (มหาชน),การจัดการ,การตลาด,กรุงเทพมหานคร,13.73756,100.506938
62.0,บริษัท เลี่ยนอุดม จำกัด,การจัดการ,การตลาด,ภูเก็ต,7.906824,98.402379
63.0,บริษัท วินไอเอ็มซี จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.722329,100.496402
64.0,บริษัท วีเอ็มดี ออโต้เซลล์ จำกัด,การจัดการ,การตลาด,นครศรีธรรมราช,8.419751,99.957249
65.0,บริษัท สงขลา เอฟซี จำกัด,การจัดการ,การตลาด,สงขลา,7.204345,100.450524
66.0,บริษัท สมศรีการ์เมนท์ จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.725512,100.470402
67.0,บริษัท สยามทาโก้ จำกัด (TACO BELL สาขาสยามพารากอน),การจัดการ,การตลาด,กรุงเทพมหานคร,13.759847,100.523018
68.0,บริษัท สยามแม็คโคร จำกัด (มหาชน) สาขานครศรีธรรมราช,การจัดการ,การตลาด,นครศรีธรรมราช,8.417477,99.949181
69.0,บริษัท สยามแม็คโคร จำกัด (มหาชน) สาขาสุราษฎร์ธานี,การจัดการ,การตลาด,สุราษฎร์ธานี,9.15859,99.294806
70.0,บริษัท สรรพสินค้าเซ็นทรัล จำกัด สาขาเวสต์เกต,การจัดการ,การตลาด,นนทบุรี,13.886111,100.545872
71.0,บริษัท สัตยามานะ จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.778358,100.465298
72.0,บริษัท สุพรีม จำกัด,การจัดการ,การตลาด,นครศรีธรรมราช,8.429422,99.992158
73.0,บริษัท หัวเว่ย เทคโนโลยี่ (ประเทศไทย) จํากัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.730183,100.465494
74.0,บริษัท ห้างสรรพสินค้าโรบินสัน จำกัด (มหาชน) สาขาสุราษฎร์ธานี,การจัดการ,การตลาด,สุราษฎร์ธานี,9.143124,99.292786
75.0,บริษัท อันดาเทค จำกัด,การจัดการ,การตลาด,สงขลา,7.158236,100.491773
76.0,บริษัท อิม เอ็ดดูเคชั่น จำกัด,การจัดการ,การตลาด,สงขลา,7.212056,100.510702
77.0,บริษัท เอ.ไอ.เอ็ม. สยาม จำกัด,การจัดการ,การตลาด,นนทบุรี,13.895621,100.515334
78.0,บริษัท เอชพีเอ็น กรุ๊ป โฮลดิ้งส์ จำกัด,การจัดการ,การตลาด,ปทุมธานี,13.999798,100.492118
79.0,บริษัท เอ็มเค เรสโตรองต์ กรุ๊ป จำกัด (มหาชน),การจัดการ,การตลาด,กรุงเทพมหานคร,13.724247,100.479675
80.0,บริษัท แอดวานซ์ ไวร์เลส เน็ทเวอร์ค จำกัด จังหวัดสุราษฎร์ธานี,การจัดการ,การตลาด,สุราษฎร์ธานี,9.156915,99.333634
81.0,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),การจัดการ,การตลาด,กรุงเทพมหานคร,13.731658,100.49051
82.0,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน) ศูนย์บริการลูกค้าภูมิภาค หาดใหญ่,การจัดการ,การตลาด,กรุงเทพมหานคร,13.768507,100.492503
83.0,บริษัท แอทไซน์มีเดีย พลัส จำกัด,การจัดการ,การตลาด,นครศรีธรรมราช,8.398531,99.941156
84.0,บริษัท แอ๊บบอต ลาบอแรตอรีส จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.752224,100.486991
85.0,บริษัท แอสเส็ทส์ อาร์ อัส จำกัด (ไร่วานิช),การจัดการ,การตลาด,ภูเก็ต,7.873812,98.35439
86.0,โรงพยาบาลเปาโล เกษตร,การจัดการ,การตลาด,กรุงเทพมหานคร,13.754158,100.531437
87.0,โรงพยาบาลเปาโล พหลโยธิน,การจัดการ,การตลาด,กรุงเทพมหานคร,13.788888,100.499856
88.0,โรงแรม เจดับบลิว แมริออท ภูเก็ต รีสอร์ท แอนด์ สปา,การจัดการ,การตลาด,ภูเก็ต,7.862639,98.42635
89.0,โรงแรม บันยันทรี ภูเก็ต,การจัดการ,การตลาด,ภูเก็ต,7.854574,98.424996
90.0,โรงแรม ป่าตอง เบย์ ฮิลล์ รีสอร์ท,การจัดการ,การตลาด,ภูเก็ต,7.911163,98.411315
91.0,โรงแรม เฟิร์ส บังกะโล บีช รีสอร์ท,การจัดการ,การตลาด,สุราษฎร์ธานี,9.149426,99.287406
92.0,โรงแรม มีเลีย เกาะสมุย บีช รีสอร์ท,การจัดการ,การตลาด,สุราษฎร์ธานี,9.157759,99.355623
93.0,โรงแรม ไมด้า แกรนด์ รีสอร์ท ภูเก็ต,การจัดการ,การตลาด,ภูเก็ต,7.856527,98.373674
94.0,โรงแรมกะตะธานีภูเก็ตบีชรีสอร์ท,การจัดการ,การตลาด,ภูเก็ต,7.908489,98.421799
95.0,โรงแรมแกรนด์ ฟอร์จูน จังหวัดนครศรีธรรมราช,การจัดการ,การตลาด,นครศรีธรรมราช,8.413414,99.99249
96.0,โรงแรมทรายลากูน่าภูเก็ต (บริษัท ลากูน่าภูเก็ตคลับ จำกัด),การจัดการ,การตลาด,ภูเก็ต,7.867115,98.376467
97.0,โรงแรมทวินโลตัส,การจัดการ,การตลาด,นครศรีธรรมราช,8.438395,99.975798
98.0,โรงแรมบลูโซเทล กระบี่,การจัดการ,การตลาด,กระบี่,8.060482,98.873101
99.0,โรงแรมบาวแมนบุรี,การจัดการ,การตลาด,ภูเก็ต,7.863602,98.425652
100.0,โรงแรมลีการ์เด้น พลาซ่า หาดใหญ่,การจัดการ,การตลาด,สงขลา,7.155898,100.443518
101.0,วินด์แฮม การ์เด้น ในทอน ภูเก็ต,การจัดการ,การตลาด,ภูเก็ต,7.845238,98.395266
102.0,ศูนย์การค้าเซียร์ รังสิต,การจัดการ,การตลาด,ปทุมธานี,14.032994,100.561545
103.0,สำนักงานจัดหางานจังหวัดกระบี่,การจัดการ,การตลาด,กระบี่,8.117724,98.927557
104.0,ห้างหุ้นส่วนจำกัด สมุย ทัวร์ริส อินฟอร์เมชั่น,การจัดการ,การตลาด,สุราษฎร์ธานี,9.109793,99.344173
105.0,บริษัท บ้านสวยกรุ๊ป (สุราษฎร์ธานี) จำกัด (มหาชน),การจัดการ,การตลาด,สุราษฎร์ธานี,9.149826,99.323157
106.0,เซ็นทรัล เฟสติวัล หาดใหญ่,การจัดการ,การตลาด,สงขลา,7.153057,100.47175
107.0,ธนาคารกรุงไทย จำกัด (มหาชน) สาขานครศรีธรรมราช,การจัดการ,การตลาด,นครศรีธรรมราช,8.439811,99.967212
108.0,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร สาขาเซกา,การจัดการ,การตลาด,บึงกาฬ,18.361876,103.648347
109.0,ธนาคารออมสิน ศูนย์ควบคุมและบริหารหนี้เขตกระบี่,การจัดการ,การตลาด,กระบี่,8.108208,98.884545
110.0,ธนาคารออมสิน สาขาตลาดหัวอิฐ,การจัดการ,การตลาด,นครศรีธรรมราช,8.465184,99.946924
111.0,บริษัท โก บาย เดอะ กลอรี่ เวิลด์ไวด์ จำกัด,การจัดการ,การตลาด,สุราษฎร์ธานี,9.176255,99.299764
112.0,บริษัท จอย แอนด์ คอยน์ คอร์ปอเรชั่น จำกัด,การจัดการ,การตลาด,นนทบุรี,13.829887,100.513401
113.0,บริษัท จัดหางาน อินเทิร์นชิฟส์ (ไทยแลนด์) จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.731024,100.48419
114.0,บริษัท เจแปน ออล พาส จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.717179,100.519542
115.0,บริษัท ซีพี ออลล์ จำกัด (มหาชน) สำนักงานหาดใหญ่,การจัดการ,การตลาด,กรุงเทพมหานคร,13.744741,100.519715
116.0,บริษัท ซีพี ออลล์ จำกัด (มหาชน) สำนักงานอาคารธาราสาทร แจ้งวัฒนะ,การจัดการ,การตลาด,นนทบุรี,13.845288,100.49206
117.0,บริษัท เดอะไมเนอร์ ฟู้ด กรุ๊ป จำกัด (มหาชน),การจัดการ,การตลาด,กรุงเทพมหานคร,13.750206,100.485715
118.0,บริษัท โตโยต้าตาปี จำกัด สำนักงานใหญ่,การจัดการ,การตลาด,สุราษฎร์ธานี,9.177497,99.352251
119.0,บริษัท โตโยต้า เมืองคอน จำกัด,การจัดการ,การตลาด,นครศรีธรรมราช,8.445958,99.971281
120.0,บริษัท โทรคมนาคมแห่งชาติ จำกัด (มหาชน) จังหวัดตรัง,การจัดการ,การตลาด,ตรัง,7.537425,99.617491
121.0,บริษัท ไทม์ บรอดคาสท์ จำกัด (สำนักงานใหญ่),การจัดการ,การตลาด,กรุงเทพมหานคร,13.780583,100.526724
122.0,บริษัท ไทยน้ำทิพย์ คอร์ปอเรชั่น จำกัด สาขาหัวหมาก,การจัดการ,การตลาด,กรุงเทพมหานคร,13.748099,100.500029
123.0,บริษัท บุญถาวรเซรามิค จำกัด สาขาสุราษฎร์ธานี,การจัดการ,การตลาด,สุราษฎร์ธานี,9.15727,99.319812
124.0,บริษัท เบทาโกรเกษตรอุตสาหกรรมจำกัด สำนักงานสุราษฎร์ธานี,การจัดการ,การตลาด,สุราษฎร์ธานี,9.16797,99.321211
125.0,บริษัท ฝาจีบ จำกัด (มหาชน),การจัดการ,การตลาด,ปทุมธานี,14.01395,100.564834
126.0,บริษัท ไมเนอร์ ดีคิว จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.767017,100.537787
127.0,บริษัท ยักษ์ ย๊ากส์ จำกัด,การจัดการ,การตลาด,สงขลา,7.146132,100.506954
128.0,บริษัท ไอคอน ไอเดีย จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.719092,100.510222
129.0,ป่าตอง เบย์ ฮิลล์ รีสอร์ท,การจัดการ,การตลาด,ภูเก็ต,7.91562,98.424128
130.0,เมเจอร์ซีนีเพล็กซ์ อีจีวี สาขาโลตัสสุราษฎร์ธานี,การจัดการ,การตลาด,สุราษฎร์ธานี,9.155646,99.351266
131.0,บริษัท สรรพสินค้าเซ็นทรัล จำกัด สาขาภูเก็ต,การจัดการ,การตลาด,ภูเก็ต,7.858345,98.372754
132.0,บริษัท สรรพสินค้าเซ็นทรัล จำกัด สาขาหาดใหญ่,การจัดการ,การตลาด,สงขลา,7.177071,100.486721
133.0,บริษัท สุพรีม เอสเตท จำกัด,การจัดการ,การตลาด,นครศรีธรรมราช,8.426044,100.001422
134.0,โรงพยาบาลมิตรภาพสามัคคี (มูลนิธิท่งเซี่ยเซี่ยงตึ๊ง),การจัดการ,การตลาด,สงขลา,7.201654,100.449744
135.0,โรงแรม เดอะ นาคา ภูเก็ต,การจัดการ,การตลาด,ภูเก็ต,7.88113,98.357224
136.0,โรงแรมเดอะบีช ไฮท์ รีสอร์ท,การจัดการ,การตลาด,ภูเก็ต,7.883006,98.388283
137.0,โรงแรม เดอะ มาริน ภูเก็ต,การจัดการ,การตลาด,ภูเก็ต,7.880148,98.381482
138.0,ห้างหุ้นส่วนสามัญ เอกนครพาณิชย์,การจัดการ,การตลาด,นครศรีธรรมราช,8.463604,99.925219
139.0,โรงแรม สแปลช บีช รีสอร์ท ภูเก็ต,การจัดการ,การตลาด,ภูเก็ต,7.852597,98.385469
140.0,โรงแรมอมารี เกาะสมุย,การจัดการ,การตลาด,สุราษฎร์ธานี,9.108787,99.352614
141.0,บริษัท วีแอนด์บี สเปเชียลลิสต์ จำกัด,การจัดการ,การตลาด,สงขลา,7.164463,100.483641
142.0,บริษัท เวเคชั่น วิลเลจ จำกัด สาขากระบี่,การจัดการ,การตลาด,กระบี่,8.064276,98.904997
143.0,บริษัท ศูนย์การค้าไดอาน่าคอมเพล็กซ์ จำกัด,การจัดการ,การตลาด,สงขลา,7.174368,100.504848
144.0,บริษัท ออร์คิดจ๊อบ ดอท คอม จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.793402,100.46209
145.0,บริษัท อินเทลลิเจ้นท์ ครีเอทีฟ แอนด์ มาร์เก็ตติ้ง จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.792622,100.489477
146.0,โรงแรม ไร่เลย์ เกรทวิว รีสอร์ท แอนด์ สปา,การจัดการ,การตลาด,เลย,17.484664,101.720336
147.0,บริษัท ผลิตภัณฑ์และวัสดุก่อสร้าง จำกัด (CPAC),การจัดการ,การตลาด,กรุงเทพมหานคร,13.785821,100.514957
148.0,ร้านชนิดา เพ็ทช็อป,การจัดการ,การตลาด,นครศรีธรรมราช,8.44808,99.973407
149.0,"Courtyard by Marriott Phuket, Patong Beach Resort",การจัดการ,อุตสาหกรรมการบริการ,กรุงเทพมหานคร,13.758276,100.527422
150.0,Melia Hanoi Hotel,การจัดการ,อุตสาหกรรมการบริการ,เวียดนาม,,
151.0,Pullman Kuala Lumpur Bangsar Hotel,การจัดการ,อุตสาหกรรมการบริการ,มาเลเซีย,,
152.0,กองบังคับการตำรวจท่องเที่ยว 3,การจัดการ,อุตสาหกรรมการบริการ,สุราษฎร์ธานี,9.17631,99.343976
153.0,การท่องเที่ยวแห่งประเทศไทย สำนักงานนครศรีธรรมราช,การจัดการ,อุตสาหกรรมการบริการ,นครศรีธรรมราช,8.394248,99.969673
154.0,การท่องเที่ยวแห่งประเทศไทย สำนักงานน่าน,การจัดการ,อุตสาหกรรมการบริการ,น่าน,18.762749,100.753733
155.0,คอร์ทยาร์ด บาย แมริออท ภูเก็ตทาวน์,การจัดการ,อุตสาหกรรมการบริการ,ภูเก็ต,7.887882,98.355724
156.0,ท่าอากาศยานนครศรีธรรมราช,การจัดการ,อุตสาหกรรมการบริการ,นครศรีธรรมราช,8.454898,99.947583
157.0,ท่าอากาศยานนานาชาติสมุย,การจัดการ,อุตสาหกรรมการบริการ,สุราษฎร์ธานี,9.112901,99.360221
158.0,นครศรีสเตชั่น ดอทคอม,การจัดการ,อุตสาหกรรมการบริการ,นครศรีธรรมราช,8.404705,99.928697
159.0,นาวากีเทล ดีไซน์ โฮเทล,การจัดการ,อุตสาหกรรมการบริการ,นครศรีธรรมราช,8.406125,99.988523
160.0,บริษัท การบินกรุงเทพ จำกัด,การจัดการ,อุตสาหกรรมการบริการ,กรุงเทพมหานคร,13.785936,100.4762
161.0,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน) ท่าอากาศยานภูเก็ต,การจัดการ,อุตสาหกรรมการบริการ,ภูเก็ต,7.904218,98.391065
162.0,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน) ท่าอากาศยานหาดใหญ่,การจัดการ,อุตสาหกรรมการบริการ,สงขลา,7.195662,100.509581
163.0,บริษัท ไทย ไลอ้อน เมนทารี จำกัด จังหวัดสงขลา,การจัดการ,อุตสาหกรรมการบริการ,สงขลา,7.208061,100.49949
164.0,บริษัท ไทยมารีน เอ็กซ์คลูซีฟ โวยาจ จำกัด,การจัดการ,อุตสาหกรรมการบริการ,ภูเก็ต,7.905706,98.356327
165.0,บริษัท นิกรมารีน จำกัด,การจัดการ,อุตสาหกรรมการบริการ,ภูเก็ต,7.885578,98.359859
166.0,บริษัท บ้านมัคคุเทศก์ จำกัด,การจัดการ,อุตสาหกรรมการบริการ,กรุงเทพมหานคร,13.763296,100.476497
167.0,บริษัท แปซิฟิค เวิลด์ มีตติ้งส์ แอนด์ อีเว้นท์ส (ประเทศไทย) จำกัด จังหวัดภูเก็ต,การจัดการ,อุตสาหกรรมการบริการ,ภูเก็ต,7.918149,98.366944
168.0,บริษัท พัทยา เอวิเอชั่น จำกัด,การจัดการ,อุตสาหกรรมการบริการ,นนทบุรี,13.896923,100.476017
169.0,บริษัท ฟรีดอม ดอลฟิน ไดฟ์วิ่ง จำกัด,การจัดการ,อุตสาหกรรมการบริการ,ภูเก็ต,7.910144,98.379183
170.0,บริษัท โลเคิล อไลค์ จำกัด,การจัดการ,อุตสาหกรรมการบริการ,กรุงเทพมหานคร,13.761614,100.464587
171.0,บริษัท สกายเวิลด์ แอดเวนเจอร์ จำกัด,การจัดการ,อุตสาหกรรมการบริการ,ภูเก็ต,7.864564,98.397159
172.0,บริษัท เอเลเฟนท์ ฮิลล์ จำกัด,การจัดการ,อุตสาหกรรมการบริการ,สุราษฎร์ธานี,9.100314,99.336299
173.0,โรงแรม เขาหลัก แมริออท รีสอร์ท แอนด์ สปา,การจัดการ,อุตสาหกรรมการบริการ,พังงา,8.433816,98.497803
174.0,โรงแรม คอนราด เกาะสมุย รีสอร์ท แอนด์ สปา,การจัดการ,อุตสาหกรรมการบริการ,กรุงเทพมหานคร,13.716517,100.525608
175.0,โรงแรม คามาลายา จำกัด,การจัดการ,อุตสาหกรรมการบริการ,สุราษฎร์ธานี,9.163928,99.340327
176.0,โรงแรม คิมป์ตัน คีตาเล สมุย,การจัดการ,อุตสาหกรรมการบริการ,สุราษฎร์ธานี,9.149037,99.35798
177.0,โรงแรม โคโม่ พ้อยท์ ยามู,การจัดการ,อุตสาหกรรมการบริการ,ภูเก็ต,7.855677,98.379686
178.0,โรงแรม เจดับบลิว แมริออท เขาหลัก รีสอร์ท แอนด์ สปา,การจัดการ,อุตสาหกรรมการบริการ,พังงา,8.425973,98.490433
179.0,โรงแรม ชาเทรียม กรุงเทพ,การจัดการ,อุตสาหกรรมการบริการ,กรุงเทพมหานคร,13.76411,100.532868
180.0,โรงแรม เชอราตัน สมุย รีสอร์ท,การจัดการ,อุตสาหกรรมการบริการ,สุราษฎร์ธานี,9.148862,99.353201
181.0,โรงแรม แชงกรีล่า เชียงใหม่,การจัดการ,อุตสาหกรรมการบริการ,เชียงราย,19.926991,99.845116
182.0,โรงแรม ซิกเซ้นส์ สมุย,การจัดการ,อุตสาหกรรมการบริการ,สุราษฎร์ธานี,9.127975,99.313184
183.0,โรงแรม ซิกส์เซนเซส เกาะยาวน้อย,การจัดการ,อุตสาหกรรมการบริการ,พังงา,8.427131,98.558926
184.0,โรงแรม เซ็นทารา รีเซิร์ฟ สมุย,การจัดการ,อุตสาหกรรมการบริการ,สุราษฎร์ธานี,9.140266,99.320332
